 *                                      
 * hydrostatic:  btemp=  6.000E+09 bden=  6.000E+09
 *          time                ca40          ti44          cr48          fe52          ni56 
    180  6.055697446106E-08  3.386255E-03  1.993318E-05  1.471143E-05  1.708003E-05  2.306551E-05
    181  6.137000923813E-08  3.405460E-03  2.008577E-05  1.485857E-05  1.730301E-05  2.345681E-05
    182  6.195684298556E-08  3.419330E-03  2.019617E-05  1.496521E-05  1.746495E-05  2.374166E-05
    183  6.389640747462E-08  3.465229E-03  2.056262E-05  1.532028E-05  1.800610E-05  2.469768E-05
    184  6.533094931511E-08  3.499232E-03  2.083522E-05  1.558546E-05  1.841224E-05  2.541930E-05
    185  6.637430913469E-08  3.523991E-03  2.103431E-05  1.577972E-05  1.871079E-05  2.595198E-05
    186  6.712997925196E-08  3.541938E-03  2.117894E-05  1.592113E-05  1.892870E-05  2.634194E-05
    187  6.767842131635E-08  3.554972E-03  2.128414E-05  1.602415E-05  1.908774E-05  2.662716E-05
    188  6.936610124797E-08  3.595123E-03  2.160906E-05  1.634319E-05  1.958181E-05  2.751654E-05
    189  7.061128456408E-08  3.624787E-03  2.184996E-05  1.658054E-05  1.995090E-05  2.818413E-05
    190  7.151952020027E-08  3.646446E-03  2.202630E-05  1.675472E-05  2.022257E-05  2.867724E-05
    191  7.217859003173E-08  3.662175E-03  2.215459E-05  1.688167E-05  2.042101E-05  2.903834E-05
    192  7.442967406567E-08  3.715970E-03  2.259485E-05  1.731881E-05  2.110708E-05  3.029269E-05
    193  7.600221523191E-08  3.753616E-03  2.290431E-05  1.762744E-05  2.159402E-05  3.118839E-05
    194  7.716335834702E-08  3.781449E-03  2.313380E-05  1.785705E-05  2.195764E-05  3.186015E-05
    195  7.801163422594E-08  3.801800E-03  2.330200E-05  1.802571E-05  2.222548E-05  3.235652E-05
    196  7.862966729082E-08  3.816637E-03  2.342483E-05  1.814909E-05  2.242179E-05  3.272117E-05
    197  8.104103714664E-08  3.874606E-03  2.390635E-05  1.863443E-05  2.319725E-05  3.416838E-05
    198  8.260971702048E-08  3.912383E-03  2.422154E-05  1.895355E-05  2.370986E-05  3.513093E-05
    199  8.377202063445E-08  3.940406E-03  2.445606E-05  1.919174E-05  2.409386E-05  3.585498E-05
    200  8.462413283639E-08  3.960968E-03  2.462852E-05  1.936729E-05  2.437765E-05  3.639171E-05
    201  8.524708577787E-08  3.976010E-03  2.475488E-05  1.949613E-05  2.458633E-05  3.678727E-05
    202  8.786905100551E-08  4.039407E-03  2.528934E-05  2.004304E-05  2.547598E-05  3.848189E-05
    203  8.946910571335E-08  4.078162E-03  2.561755E-05  2.038048E-05  2.602793E-05  3.953986E-05
    204  9.065985299812E-08  4.107036E-03  2.586281E-05  2.063341E-05  2.644316E-05  4.033904E-05
    205  9.153644214405E-08  4.128309E-03  2.604390E-05  2.082060E-05  2.675129E-05  4.093388E-05
    206  9.217935292955E-08  4.143921E-03  2.617701E-05  2.095841E-05  2.697860E-05  4.137368E-05
    207  9.458878968382E-08  4.202498E-03  2.667808E-05  2.147893E-05  2.784050E-05  4.304866E-05
    208  9.617833888477E-08  4.241202E-03  2.701052E-05  2.182579E-05  2.841779E-05  4.417702E-05
    209  9.736478831028E-08  4.270121E-03  2.725964E-05  2.208648E-05  2.885321E-05  4.503144E-05
    210  9.824093693651E-08  4.291493E-03  2.744413E-05  2.227997E-05  2.917724E-05  4.566915E-05
    211  9.888558819869E-08  4.307227E-03  2.758016E-05  2.242288E-05  2.941701E-05  4.614203E-05
    212  1.012812666782E-07  4.365761E-03  2.808782E-05  2.295791E-05  3.031815E-05  4.792693E-05
    213  1.028803343349E-07  4.404886E-03  2.842852E-05  2.331851E-05  3.092854E-05  4.914265E-05
    214  1.040779681577E-07  4.434218E-03  2.868465E-05  2.359040E-05  3.139038E-05  5.006605E-05
    215  1.049653776990E-07  4.455967E-03  2.887497E-05  2.379288E-05  3.173519E-05  5.075743E-05
    216  1.056203002920E-07  4.472026E-03  2.901571E-05  2.394285E-05  3.199108E-05  5.127161E-05
    217  1.079332486442E-07  4.528799E-03  2.951472E-05  2.447625E-05  3.290449E-05  5.311438E-05
    218  1.095447205440E-07  4.568404E-03  2.986418E-05  2.485131E-05  3.354983E-05  5.442322E-05
    219  1.107557181325E-07  4.598193E-03  3.012775E-05  2.513501E-05  3.403966E-05  5.542041E-05
    220  1.116560265193E-07  4.620354E-03  3.032423E-05  2.534696E-05  3.440653E-05  5.616937E-05
    221  1.123224267662E-07  4.636765E-03  3.046995E-05  2.550441E-05  3.467958E-05  5.672794E-05
    222  1.145903958171E-07  4.692668E-03  3.096773E-05  2.604386E-05  3.561838E-05  5.865590E-05
    223  1.162166126119E-07  4.732799E-03  3.132639E-05  2.643410E-05  3.630065E-05  6.006414E-05
    224  1.174427896407E-07  4.763083E-03  3.159779E-05  2.673022E-05  3.682013E-05  6.114034E-05
    225  1.183574003830E-07  4.785686E-03  3.180075E-05  2.695216E-05  3.721045E-05  6.195118E-05
    226  1.190363474754E-07  4.802472E-03  3.195171E-05  2.711750E-05  3.750177E-05  6.255759E-05
    227  1.212811629863E-07  4.858018E-03  3.245260E-05  2.766770E-05  3.847451E-05  6.458999E-05
    228  1.229204013422E-07  4.898623E-03  3.282008E-05  2.807291E-05  3.919412E-05  6.610091E-05
    229  1.241603965413E-07  4.929362E-03  3.309900E-05  2.838134E-05  3.974370E-05  6.725897E-05
    230  1.250882873360E-07  4.952376E-03  3.330825E-05  2.861323E-05  4.015790E-05  6.813413E-05
    231  1.257790609569E-07  4.969517E-03  3.346432E-05  2.878645E-05  4.046790E-05  6.879043E-05
    232  1.280163020843E-07  5.025072E-03  3.397151E-05  2.935101E-05  4.148157E-05  7.094423E-05
    233  1.296654200019E-07  5.066062E-03  3.434704E-05  2.977059E-05  4.223824E-05  7.255961E-05
    234  1.309167412523E-07  5.097186E-03  3.463293E-05  3.009091E-05  4.281777E-05  7.380118E-05
    235  1.318559999160E-07  5.120560E-03  3.484805E-05  3.033244E-05  4.325583E-05  7.474215E-05
    236  1.325572073284E-07  5.138017E-03  3.500894E-05  3.051337E-05  4.358458E-05  7.544970E-05
    237  1.347954751533E-07  5.193777E-03  3.552419E-05  3.109442E-05  4.464377E-05  7.773736E-05
    238  1.364522460055E-07  5.235087E-03  3.590721E-05  3.152795E-05  4.543745E-05  7.945945E-05
    239  1.377131051571E-07  5.266545E-03  3.619963E-05  3.185984E-05  4.604698E-05  8.078654E-05
    240  1.386623512957E-07  5.290239E-03  3.642030E-05  3.211082E-05  4.650903E-05  8.179510E-05
    241  1.393729783270E-07  5.307984E-03  3.658580E-05  3.229934E-05  4.685670E-05  8.255548E-05
    242  1.416166231991E-07  5.364042E-03  3.710996E-05  3.289805E-05  4.796442E-05  8.498636E-05
    243  1.432798982501E-07  5.405632E-03  3.750013E-05  3.334534E-05  4.879542E-05  8.681819E-05
    244  1.445493539250E-07  5.437393E-03  3.779883E-05  3.368868E-05  4.943532E-05  8.823344E-05
    245  1.455078528084E-07  5.461384E-03  3.802488E-05  3.394905E-05  4.992172E-05  8.931191E-05
    246  1.462273607331E-07  5.479399E-03  3.819486E-05  3.414514E-05  5.028867E-05  9.012709E-05
    247  1.484789720914E-07  5.535805E-03  3.872841E-05  3.476230E-05  5.144723E-05  9.270933E-05
    248  1.501481743959E-07  5.577650E-03  3.912552E-05  3.522326E-05  5.231611E-05  9.465437E-05
    249  1.514257371416E-07  5.609694E-03  3.943034E-05  3.557804E-05  5.298689E-05  9.616084E-05
    250  1.523931020692E-07  5.633967E-03  3.966167E-05  3.584782E-05  5.349814E-05  9.731184E-05
    251  1.531212138074E-07  5.652241E-03  3.983607E-05  3.605153E-05  5.388484E-05  9.818406E-05
    252  1.536715499581E-07  5.666057E-03  3.996806E-05  3.620586E-05  5.417821E-05  9.884667E-05
    253  1.540959692814E-07  5.676713E-03  4.006995E-05  3.632510E-05  5.440509E-05  9.935966E-05
    254  1.544370480603E-07  5.685278E-03  4.015189E-05  3.642106E-05  5.458783E-05  9.977317E-05
    255  1.556805844880E-07  5.716512E-03  4.045109E-05  3.677196E-05  5.525709E-05  1.012902E-04
    256  1.566228012231E-07  5.740187E-03  4.067827E-05  3.703891E-05  5.576736E-05  1.024496E-04
    257  1.573329908772E-07  5.758036E-03  4.084978E-05  3.724073E-05  5.615379E-05  1.033292E-04
    258  1.595896632621E-07  5.814777E-03  4.139629E-05  3.788551E-05  5.739206E-05  1.061565E-04
    259  1.612697442166E-07  5.857045E-03  4.180468E-05  3.836898E-05  5.832420E-05  1.082938E-04
    260  1.625613565886E-07  5.889554E-03  4.211951E-05  3.874266E-05  5.904678E-05  1.099556E-04
