 *                                      
 * hydrostatic:  btemp=  6.000E+09 bden=  6.000E+09
 *          time                temp          den           ener          sdot          sneut         s-snu         ye            1-sum
     78  1.618819245835E-09  6.000000E+09  6.000000E+09  3.292526E+18  2.514868E+25  6.180242E+11  2.514868E+25  5.000000E-01 -4.440892E-15
     79  1.783602661002E-09  6.000000E+09  6.000000E+09  3.296260E+18  2.038278E+25  6.181728E+11  2.038278E+25  5.000000E-01 -6.439294E-15
     80  1.806070460500E-09  6.000000E+09  6.000000E+09  3.296712E+18  1.982815E+25  6.181909E+11  1.982815E+25  5.000000E-01 -6.439294E-15
     81  1.834257184686E-09  6.000000E+09  6.000000E+09  3.297261E+18  1.916039E+25  6.182129E+11  1.916039E+25  5.000000E-01 -6.661338E-15
     82  1.894876694067E-09  6.000000E+09  6.000000E+09  3.298381E+18  1.782292E+25  6.182579E+11  1.782292E+25  5.000000E-01 -6.883383E-15
     83  1.956223077554E-09  6.000000E+09  6.000000E+09  3.299436E+18  1.659425E+25  6.183003E+11  1.659425E+25  5.000000E-01 -7.327472E-15
     84  2.096811856442E-09  6.000000E+09  6.000000E+09  3.301594E+18  1.418201E+25  6.183872E+11  1.418201E+25  5.000000E-01 -9.325873E-15
     85  2.125293292763E-09  6.000000E+09  6.000000E+09  3.301991E+18  1.375276E+25  6.184032E+11  1.375276E+25  5.000000E-01 -9.547918E-15
     86  2.147664241022E-09  6.000000E+09  6.000000E+09  3.302295E+18  1.342809E+25  6.184155E+11  1.342809E+25  5.000000E-01 -9.547918E-15
     87  2.225435834200E-09  6.000000E+09  6.000000E+09  3.303298E+18  1.237868E+25  6.184559E+11  1.237868E+25  5.000000E-01 -9.992007E-15
     88  2.415237247315E-09  6.000000E+09  6.000000E+09  3.305437E+18  1.025600E+25  6.185421E+11  1.025600E+25  5.000000E-01 -1.021405E-14
     89  2.442583637179E-09  6.000000E+09  6.000000E+09  3.305714E+18  9.993419E+24  6.185532E+11  9.993419E+24  5.000000E-01 -9.992007E-15
     90  2.473989154347E-09  6.000000E+09  6.000000E+09  3.306023E+18  9.703514E+24  6.185657E+11  9.703514E+24  5.000000E-01 -9.992007E-15
     91  2.544786159009E-09  6.000000E+09  6.000000E+09  3.306688E+18  9.092548E+24  6.185924E+11  9.092548E+24  5.000000E-01 -9.992007E-15
     92  2.624298262364E-09  6.000000E+09  6.000000E+09  3.307386E+18  8.470094E+24  6.186203E+11  8.470094E+24  5.000000E-01 -9.992007E-15
     93  2.835869010216E-09  6.000000E+09  6.000000E+09  3.309026E+18  7.085621E+24  6.186857E+11  7.085621E+24  5.000000E-01 -9.769963E-15
     94  2.867713962127E-09  6.000000E+09  6.000000E+09  3.309248E+18  6.906133E+24  6.186946E+11  6.906133E+24  5.000000E-01 -9.547918E-15
     95  2.895488441437E-09  6.000000E+09  6.000000E+09  3.309438E+18  6.754948E+24  6.187021E+11  6.754948E+24  5.000000E-01 -9.325873E-15
     96  2.930607443791E-09  6.000000E+09  6.000000E+09  3.309672E+18  6.570606E+24  6.187114E+11  6.570606E+24  5.000000E-01 -9.325873E-15
     97  2.956830440270E-09  6.000000E+09  6.000000E+09  3.309843E+18  6.437713E+24  6.187181E+11  6.437713E+24  5.000000E-01 -9.103829E-15
     98  3.102404593124E-09  6.000000E+09  6.000000E+09  3.310730E+18  5.766877E+24  6.187531E+11  5.766877E+24  5.000000E-01 -8.659740E-15
     99  3.139516126598E-09  6.000000E+09  6.000000E+09  3.310941E+18  5.612270E+24  6.187614E+11  5.612270E+24  5.000000E-01 -8.437695E-15
    100  3.166242764716E-09  6.000000E+09  6.000000E+09  3.311089E+18  5.504661E+24  6.187673E+11  5.504661E+24  5.000000E-01 -7.549517E-15
    101  3.300036825337E-09  6.000000E+09  6.000000E+09  3.311792E+18  5.008933E+24  6.187948E+11  5.008933E+24  5.000000E-01 -6.883383E-15
    102  3.395478493088E-09  6.000000E+09  6.000000E+09  3.312255E+18  4.694316E+24  6.188128E+11  4.694316E+24  5.000000E-01 -6.883383E-15
    103  3.472843195480E-09  6.000000E+09  6.000000E+09  3.312609E+18  4.460079E+24  6.188266E+11  4.460079E+24  5.000000E-01 -6.439294E-15
    104  3.688090852117E-09  6.000000E+09  6.000000E+09  3.313505E+18  3.891517E+24  6.188613E+11  3.891517E+24  5.000000E-01 -6.439294E-15
    105  3.801951788869E-09  6.000000E+09  6.000000E+09  3.313934E+18  3.632605E+24  6.188778E+11  3.632605E+24  5.000000E-01 -6.661338E-15
    106  4.143861661358E-09  6.000000E+09  6.000000E+09  3.315060E+18  2.989220E+24  6.189209E+11  2.989220E+24  5.000000E-01 -5.773160E-15
    107  4.359361658383E-09  6.000000E+09  6.000000E+09  3.315669E+18  2.664564E+24  6.189440E+11  2.664564E+24  5.000000E-01 -6.217249E-15
    108  4.405453174908E-09  6.000000E+09  6.000000E+09  3.315790E+18  2.601655E+24  6.189486E+11  2.601655E+24  5.000000E-01 -6.883383E-15
    109  4.438071215090E-09  6.000000E+09  6.000000E+09  3.315874E+18  2.558394E+24  6.189518E+11  2.558394E+24  5.000000E-01 -6.217249E-15
    110  4.573959786929E-09  6.000000E+09  6.000000E+09  3.316210E+18  2.388632E+24  6.189646E+11  2.388632E+24  5.000000E-01 -6.661338E-15
    111  4.685678425559E-09  6.000000E+09  6.000000E+09  3.316470E+18  2.260637E+24  6.189744E+11  2.260637E+24  5.000000E-01 -6.661338E-15
    112  5.004810173122E-09  6.000000E+09  6.000000E+09  3.317139E+18  1.943482E+24  6.189998E+11  1.943482E+24  5.000000E-01 -8.437695E-15
    113  5.092002201503E-09  6.000000E+09  6.000000E+09  3.317305E+18  1.867555E+24  6.190061E+11  1.867555E+24  5.000000E-01 -8.215650E-15
    114  5.168825561346E-09  6.000000E+09  6.000000E+09  3.317446E+18  1.803977E+24  6.190115E+11  1.803977E+24  5.000000E-01 -7.327472E-15
    115  5.366232683558E-09  6.000000E+09  6.000000E+09  3.317787E+18  1.653552E+24  6.190244E+11  1.653552E+24  5.000000E-01 -7.105427E-15
    116  5.498080528529E-09  6.000000E+09  6.000000E+09  3.317999E+18  1.562417E+24  6.190325E+11  1.562417E+24  5.000000E-01 -7.327472E-15
    117  5.850428947813E-09  6.000000E+09  6.000000E+09  3.318511E+18  1.349810E+24  6.190522E+11  1.349810E+24  5.000000E-01 -6.661338E-15
    118  5.949940591055E-09  6.000000E+09  6.000000E+09  3.318642E+18  1.296847E+24  6.190573E+11  1.296847E+24  5.000000E-01 -6.661338E-15
    119  6.042838855202E-09  6.000000E+09  6.000000E+09  3.318761E+18  1.249878E+24  6.190619E+11  1.249878E+24  5.000000E-01 -6.661338E-15
    120  6.290909439284E-09  6.000000E+09  6.000000E+09  3.319056E+18  1.135073E+24  6.190734E+11  1.135073E+24  5.000000E-01 -7.327472E-15
    121  6.386847030388E-09  6.000000E+09  6.000000E+09  3.319163E+18  1.094441E+24  6.190776E+11  1.094441E+24  5.000000E-01 -6.883383E-15
    122  6.477157093710E-09  6.000000E+09  6.000000E+09  3.319260E+18  1.057939E+24  6.190814E+11  1.057939E+24  5.000000E-01 -6.661338E-15
    123  6.721946556922E-09  6.000000E+09  6.000000E+09  3.319508E+18  9.668024E+23  6.190912E+11  9.668024E+23  5.000000E-01 -6.217249E-15
    124  6.822190317316E-09  6.000000E+09  6.000000E+09  3.319603E+18  9.324924E+23  6.190950E+11  9.324924E+23  5.000000E-01 -5.995204E-15
    125  6.918812310754E-09  6.000000E+09  6.000000E+09  3.319692E+18  9.009378E+23  6.190985E+11  9.009378E+23  5.000000E-01 -6.217249E-15
    126  7.186487155784E-09  6.000000E+09  6.000000E+09  3.319922E+18  8.206286E+23  6.191079E+11  8.206286E+23  5.000000E-01 -6.217249E-15
    127  7.289276197629E-09  6.000000E+09  6.000000E+09  3.320005E+18  7.923291E+23  6.191112E+11  7.923291E+23  5.000000E-01 -6.883383E-15
    128  7.390454154499E-09  6.000000E+09  6.000000E+09  3.320083E+18  7.657329E+23  6.191145E+11  7.657329E+23  5.000000E-01 -7.105427E-15
    129  7.677450586093E-09  6.000000E+09  6.000000E+09  3.320293E+18  6.965146E+23  6.191231E+11  6.965146E+23  5.000000E-01 -7.327472E-15
    130  7.784715612078E-09  6.000000E+09  6.000000E+09  3.320367E+18  6.728064E+23  6.191262E+11  6.728064E+23  5.000000E-01 -7.327472E-15
    131  7.893453819735E-09  6.000000E+09  6.000000E+09  3.320438E+18  6.498709E+23  6.191292E+11  6.498709E+23  5.000000E-01 -7.105427E-15
    132  8.214650104033E-09  6.000000E+09  6.000000E+09  3.320637E+18  5.880156E+23  6.191377E+11  5.880156E+23  5.000000E-01 -6.661338E-15
    133  8.329239840146E-09  6.000000E+09  6.000000E+09  3.320703E+18  5.678914E+23  6.191405E+11  5.678914E+23  5.000000E-01 -6.661338E-15
    134  8.452271985465E-09  6.000000E+09  6.000000E+09  3.320772E+18  5.473204E+23  6.191435E+11  5.473204E+23  5.000000E-01 -6.439294E-15
    135  8.898630880934E-09  6.000000E+09  6.000000E+09  3.321001E+18  4.807564E+23  6.191536E+11  4.807564E+23  5.000000E-01 -6.439294E-15
    136  9.041135063318E-09  6.000000E+09  6.000000E+09  3.321068E+18  4.618823E+23  6.191566E+11  4.618823E+23  5.000000E-01 -6.661338E-15
    137  9.184579688503E-09  6.000000E+09  6.000000E+09  3.321133E+18  4.439177E+23  6.191595E+11  4.439177E+23  5.000000E-01 -5.551115E-15
    138  9.600370325343E-09  6.000000E+09  6.000000E+09  3.321308E+18  3.971129E+23  6.191675E+11  3.971129E+23  5.000000E-01 -5.551115E-15
    139  9.849174206703E-09  6.000000E+09  6.000000E+09  3.321403E+18  3.724217E+23  6.191720E+11  3.724217E+23  5.000000E-01 -5.329071E-15
    140  1.072209106591E-08  6.000000E+09  6.000000E+09  3.321696E+18  3.015130E+23  6.191860E+11  3.015130E+23  5.000000E-01 -5.773160E-15
    141  1.140811790362E-08  6.000000E+09  6.000000E+09  3.321887E+18  2.591116E+23  6.191956E+11  2.591116E+23  5.000000E-01 -5.551115E-15
    142  1.322400317496E-08  6.000000E+09  6.000000E+09  3.322283E+18  1.832002E+23  6.192164E+11  1.832002E+23  5.000000E-01 -5.551115E-15
    143  1.456045473986E-08  6.000000E+09  6.000000E+09  3.322503E+18  1.482176E+23  6.192287E+11  1.482176E+23  5.000000E-01 -5.551115E-15
